,photo_id,owner,lat,lon,taken
30,15010346310,41087279@N00,51.513103,-0.087922,2014-09-06 18:07:30
31,15010440258,41087279@N00,51.513103,-0.087922,2014-09-06 18:12:42
32,15028612420,78191777@N00,51.462543,-0.114815,2014-09-12 07:24:31
33,15036889308,41087279@N00,51.493706,-0.183143,2014-09-12 20:25:16
34,15052620192,41087279@N00,51.525555,-0.082917,2014-08-24 20:13:12
35,15062866346,41087279@N00,51.52771,-0.083835,2014-08-30 01:44:15
36,15181804371,41087279@N00,51.513103,-0.087922,2014-09-06 18:18:06
37,15184832085,41087279@N00,51.513103,-0.087922,2014-09-06 18:17:09
38,15184832275,41087279@N00,51.513103,-0.087922,2014-09-06 18:17:06
39,15186755975,41087279@N00,51.513103,-0.087922,2014-09-06 18:17:07
40,15192907133,41087279@N00,51.527676,-0.083703,2014-11-12 21:51:42
41,15192907393,41087279@N00,51.527676,-0.083703,2014-11-12 21:51:35
42,15196161095,41087279@N00,51.513103,-0.087922,2014-09-06 16:24:22
43,15196640912,41087279@N00,51.513103,-0.087922,2014-09-06 18:00:16
44,15294904012,41087279@N00,51.51867,-0.12202,2014-09-19 16:19:48
45,15365047675,41087279@N00,51.525684,-0.083262,2014-09-24 17:00:31
46,15369358746,47532811@N03,51.503487,-0.128113,2014-09-29 17:31:38
47,15402390086,41087279@N00,51.49872,-0.124422,2014-10-02 16:11:57
48,15436775100,41087279@N00,51.511295,-0.132105,2014-10-23 15:43:56
49,15563898865,41087279@N00,51.5257,-0.083098,2014-10-15 10:59:42
50,15808707625,41087279@N00,51.527676,-0.083703,2014-11-13 00:11:55
51,15812360065,41087279@N00,51.527676,-0.083703,2014-11-12 20:08:38
52,15884550070,41087279@N00,51.527676,-0.083703,2014-12-14 02:46:46
53,16011008312,41087279@N00,51.5257,-0.083112,2014-12-11 17:54:22
54,16102888571,41087279@N00,51.525555,-0.08281,2014-12-11 19:12:25
55,16673454623,54415393@N00,51.54392,-0.117233,2014-12-13 14:58:08
56,17001669009,41087279@N00,51.512978,-0.084051,2015-04-15 14:16:22
57,17132845617,41087279@N00,51.524654,-0.07726,2015-04-28 20:17:07
58,17314302766,41087279@N00,51.524654,-0.07726,2015-04-28 20:17:22
